,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,483,1682,514,1716,816.0,1054.0,35.28853877382311,30.165921965184697,498.58088235294116,1697.1825980392157,0.5188978654845284,841.0,107.84062043356595,32.23295624828558,0.7741935483870968,1.1255727448589894
1,2,486,1645,519,1682,903.0,1221.0,37.351247718082796,31.329909147394126,502.703211517165,1664.1229235880398,0.5444527687628902,933.0,113.7401153701776,33.90774703361832,0.7395577395577395,1.0264379633374079
2,3,487,1857,503,1877,260.0,320.0,20.487237936357474,16.210828219482202,494.58076923076925,1866.7269230769232,0.6114737700413885,273.0,59.21320343559643,18.19456736586892,0.8125,1.5514854198282215
3,4,521,1964,538,1985,270.0,357.0,21.100011577149964,16.344082875824487,529.2296296296296,1973.5444444444445,0.6324506453769083,277.0,59.11269837220809,18.5411616971131,0.7563025210084033,1.182887423241348
4,5,532,1896,549,1918,280.0,374.0,21.20737373001555,16.984529379731324,539.6,1907.1714285714286,0.5988268944732746,293.0,62.2842712474619,18.881394877652593,0.7486631016042781,1.4805961322106453
5,6,541,1384,579,1425,1118.0,1558.0,44.59687651100458,32.545784920945685,558.6466905187835,1402.3720930232557,0.6836850132810269,1169.0,130.22539674441617,37.72905791315113,0.7175866495507061,-0.860400784984132
6,7,543,1844,566,1874,569.0,690.0,31.183866732823077,23.356061884835597,554.5202108963093,1858.3637961335676,0.6625937145092984,588.0,89.1126983722081,26.916041702938184,0.8246376811594203,1.5204355664635347
7,8,549,1339,587,1383,1223.0,1672.0,48.58490126095753,32.31926458135816,568.636958299264,1361.9959116925593,0.7466544391240957,1264.0,135.39696961967,39.46101827387509,0.7314593301435407,-0.990325792993867
8,9,551,1743,577,1773,636.0,780.0,31.344749189291512,25.90853754074424,563.12106918239,1757.75786163522,0.562838232975662,660.0,93.94112549695429,28.456639830653998,0.8153846153846154,-1.4140733814577002
9,10,573,2128,603,2158,588.0,900.0,34.745642983034365,22.056293388614254,586.5493197278912,2143.7244897959185,0.7726821842801785,607.0,93.15432893255071,27.361740666563517,0.6533333333333333,0.7499154249126501
10,11,581,2109,614,2141,689.0,1056.0,38.78417917156613,23.199720392468237,598.4179970972424,2123.280116110305,0.8013656181441409,716.0,103.15432893255071,29.618609797263055,0.6524621212121212,0.6555386287966865
