,label,area,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,extent,bbox-0,bbox-1,bbox-2,bbox-3
0,1,2032.0,75.84573419132246,35.10296373799759,500.6820866141732,1679.8617125984251,0.8864519991193553,0.7325162220620043,482,1644,520,1717
1,2,336.0,23.019765370411864,18.661335633942734,494.58035714285717,1866.6934523809523,0.5855091992446265,0.8484848484848485,486,1856,504,1878
2,3,350.0,23.710468303424683,18.8378987025138,529.2085714285714,1973.5885714285714,0.6072679240387782,0.8009153318077803,520,1963,539,1986
3,4,363.0,23.94594359671802,19.46603432166094,539.6473829201102,1907.1019283746557,0.5823813260913091,0.75625,531,1895,551,1919
4,5,2702.0,95.49784283360476,37.06854264996555,563.8441894892673,1381.3737971872688,0.9215915590313166,0.6396780303030303,540,1338,588,1426
5,6,679.0,33.69424740139448,25.813187430589778,554.4874815905744,1858.3726067746686,0.6427205271810561,0.84875,542,1843,567,1875
6,7,752.0,33.80450910205955,28.433902334846785,563.1502659574468,1757.7367021276596,0.5408368732929756,0.8392857142857143,550,1742,578,1774
7,8,1586.0,52.83332039704135,38.888414311466605,592.8682219419925,2132.7849936948296,0.6769179356048846,0.7232102143182855,572,2108,615,2159
8,9,1155.0,50.63618576629469,29.135144337553392,599.5748917748917,2016.3627705627705,0.81788488132073,0.7142857142857143,583,1992,616,2041
9,10,1651.0,54.442598190599305,39.55262502998441,630.6390066626287,2197.7068443367657,0.6871649606227479,0.7215909090909091,604,2176,656,2220
10,11,2066.0,63.311146726547754,42.66571610517474,661.6655372700872,1603.0895450145208,0.7388177533508062,0.7124137931034483,634,1579,692,1629
11,12,563.0,29.743272212621225,24.260682829910674,704.2078152753108,2274.765541740675,0.5785180292198876,0.7722908093278463,692,2262,719,2289
12,13,601.0,29.908631168580474,25.618217229028822,719.1397670549085,1445.873544093178,0.5160651981937695,0.7970822281167109,707,1432,733,1461
13,14,882.0,36.49275185674195,30.835152507616993,728.2210884353741,1733.2222222222222,0.5348192479354257,0.7903225806451613,711,1718,747,1749
14,15,2276.0,81.22587564420975,37.336384455169636,740.9406854130053,2187.3101933216167,0.8880943474994977,0.6371780515117581,716,2151,763,2227
15,16,1679.0,49.748774855856546,43.11305823403076,742.6801667659321,1688.7153067301965,0.498976568233124,0.8158406219630709,722,1664,764,1713
16,17,994.0,36.61335910016342,34.698544772292216,748.943661971831,1463.9899396378269,0.31915729439882434,0.7462462462462462,732,1446,768,1483
17,18,552.0,28.692540837189398,24.853356283159876,756.2155797101449,1195.909420289855,0.4997048746301609,0.7613793103448275,742,1185,771,1210
18,19,473.0,29.043608308181472,20.867062062524,757.4672304439746,1412.4651162790697,0.6955543630194986,0.6757142857142857,745,1401,773,1426
19,20,1829.0,63.81041989292569,37.2951566881903,784.2591580098415,2001.2810278840896,0.811416666619023,0.7089147286821705,755,1979,815,2022
20,21,912.0,38.22296310996477,30.531298637813027,776.656798245614,2048.407894736842,0.6016385083569433,0.7896103896103897,761,2032,794,2067
21,22,416.0,24.235551023098935,21.930355422200673,782.9134615384615,1438.9927884615386,0.4256588587347869,0.7222222222222222,771,1427,795,1451
22,23,2031.0,68.38236760754684,40.80627398968839,813.4780896110291,1354.1895617922205,0.8024370461555498,0.6268518518518519,785,1327,845,1381
23,24,1250.0,44.50551546190391,35.83563985573903,811.1032,1858.8744,0.5930094771976034,0.7891414141414141,794,1838,830,1882
24,25,560.0,27.98228718772637,25.695324788538922,820.5803571428571,1290.975,0.39595232358350435,0.7142857142857143,807,1278,835,1306
25,26,514.0,26.749653929783936,24.48148202634031,832.8035019455253,1818.8268482490273,0.40298307666881156,0.7907692307692308,820,1807,846,1832
26,27,3277.0,101.0981952621779,48.44998789225215,858.1092462618249,2237.8135489777237,0.8776855774299231,0.5456210456210456,824,2197,901,2275
27,28,1060.0,40.38153471427803,33.50344379796187,850.1028301886793,1320.3603773584905,0.5582506164447103,0.7794117647058824,834,1301,868,1341
28,29,865.0,36.56650127505794,30.177074675704187,862.8867052023121,1736.6242774566474,0.5647448378153616,0.8009259259259259,845,1722,881,1752
29,30,828.0,35.80466732845849,29.584366488585257,861.9794685990338,1779.1968599033817,0.5632724523812392,0.8157635467980295,845,1765,880,1794
30,31,670.0,31.626404475864547,27.044757807567475,861.6208955223881,2356.6746268656716,0.518409942098586,0.7754629629629629,847,2344,879,2371
31,32,428.0,25.00022224353072,22.037628465903513,866.7383177570093,1990.1214953271028,0.4721890574166036,0.8106060606060606,856,1978,878,2002
32,33,509.0,26.322811017466183,24.703911071263104,891.3673870333988,1541.5677799607072,0.34528409508446645,0.7830769230769231,879,1530,905,1555
33,34,721.0,34.81690770635553,26.882642659685583,898.6601941747573,2358.9292649098475,0.6354833193903825,0.6866666666666666,880,2343,915,2373
34,35,656.0,29.618132179960426,28.295248620130078,905.890243902439,1656.6463414634147,0.2955238948343175,0.8078817733990148,892,1643,921,1671
35,36,1810.0,52.48444013302702,44.014281865125035,917.4198895027624,2410.446408839779,0.5447233282551331,0.7702127659574468,892,2388,942,2435
36,37,297.0,24.19197728392583,16.07768578071331,916.7104377104378,914.0841750841751,0.7472104459815259,0.7443609022556391,908,906,929,925
37,38,658.0,31.76201612421735,26.513214343555056,925.4772036474164,1295.5531914893618,0.5506352675826114,0.7580645161290323,910,1282,941,1310
38,39,372.0,22.075444850902088,21.525632341732422,927.983870967742,937.2822580645161,0.22179229446657173,0.8051948051948052,917,927,939,948
39,40,637.0,34.266015695945335,23.746338765183975,935.5463108320251,1509.9638932496075,0.7209378676535179,0.7494117647058823,918,1498,952,1523
40,41,1122.0,41.26611145660313,34.680644597417896,941.1836007130124,2151.825311942959,0.5419439240818394,0.7980085348506402,923,2134,961,2171
41,42,808.0,36.10791518816035,28.71563322028653,956.1002475247525,2113.1621287128714,0.6062520896248139,0.7651515151515151,939,2098,972,2130
42,43,756.0,35.986092550227966,26.82404472965777,959.6402116402116,1152.2738095238096,0.6666171090692334,0.7667342799188641,946,1136,975,1170
43,44,1050.0,39.11882922722094,34.26668589533867,990.7742857142857,1176.7180952380952,0.48237649299897606,0.7918552036199095,974,1157,1008,1196
44,45,477.0,25.28649861947942,24.19925957884527,996.622641509434,1953.1614255765198,0.29007742812430776,0.795,984,1942,1009,1966
45,46,517.0,25.856936973024844,25.51710390450709,1001.2166344294004,1374.4893617021276,0.1615948832493356,0.764792899408284,989,1362,1015,1388
46,47,1280.0,42.4326387182308,38.57241401027392,1019.27421875,1571.5390625,0.4167372369506087,0.7619047619047619,998,1552,1040,1592
47,48,802.0,37.43858976829309,27.457933157155978,1014.7955112219452,1145.4837905236907,0.679783767176388,0.7186379928315412,1000,1128,1031,1164
48,49,951.0,37.50948336123216,32.40981951250403,1018.3470031545742,1619.6298633017875,0.5034174173840339,0.8255208333333334,1001,1604,1037,1636
49,50,1133.0,44.266839227118474,32.77206776896095,1032.5834068843778,2354.226831421006,0.6722436575528044,0.8234011627906976,1012,2339,1055,2371
50,51,1360.0,46.090369819104524,37.648808648311054,1037.8073529411765,1914.1764705882354,0.576853512016518,0.8168168168168168,1015,1896,1060,1933
51,52,867.0,34.72231442867382,32.096205072642306,1032.7485582468282,1964.2133794694348,0.38150142309360124,0.7727272727272727,1017,1948,1050,1982
52,53,1288.0,42.088251049824954,39.143201339467765,1043.141304347826,981.9472049689441,0.3674917084635436,0.7853658536585366,1023,962,1063,1003
53,54,343.0,24.533948984045914,18.010603525593265,1038.2128279883382,1301.6501457725947,0.6790311712605946,0.7456521739130435,1029,1291,1049,1314
54,55,883.0,35.521816238032045,31.719591542059465,1045.419026047565,2393.0407701019253,0.4501343180078812,0.8138248847926267,1029,2378,1064,2409
55,56,2488.0,61.24706364434947,51.838344701311094,1058.3448553054661,2500.1905144694533,0.5325780470647883,0.7823899371069183,1029,2475,1089,2528
56,57,1015.0,42.654622883998734,30.496704568235682,1061.7004926108375,2224.2620689655173,0.6991568382554638,0.7868217054263565,1041,2209,1084,2239
57,58,896.0,38.45559151157963,29.92223976754179,1062.5167410714287,1034.5948660714287,0.6281422256737905,0.8130671506352087,1045,1020,1083,1049
58,59,395.0,25.439333760518235,19.933028628377738,1057.5164556962025,2253.73417721519,0.6213268189652379,0.79,1045,2245,1070,2265
59,60,751.0,36.16969322229791,26.799643744851036,1070.8601864181092,1461.1930758988017,0.6715690562562339,0.689623507805326,1056,1446,1089,1479
60,61,464.0,27.01022464649256,21.98979116673706,1081.0905172413793,981.4310344827586,0.580684885941039,0.8069565217391305,1070,969,1093,994
61,62,1993.0,74.71459015699793,37.575555636094016,1106.2488710486703,1813.8986452584045,0.8643322328506923,0.5633126059920859,1077,1783,1135,1844
62,63,1967.0,67.22846696941725,38.27846126817092,1127.6034570411794,2193.1514997458057,0.8220753163940172,0.7805555555555556,1097,2174,1160,2214
63,64,1215.0,46.8416229986652,33.352104726103754,1121.2156378600823,1331.3234567901234,0.7021606491335364,0.7227840571088637,1101,1311,1142,1352
64,65,712.0,37.48723737375729,24.38762211620409,1125.991573033708,1841.6390449438202,0.7594565758169729,0.6780952380952381,1108,1827,1143,1857
65,66,991.0,38.27143034289715,33.00323410638831,1128.4904137235117,2500.140262361251,0.5063185849071596,0.7902711323763956,1110,2484,1148,2517
66,67,1173.0,41.55363977530749,36.2624473021537,1160.9386189258312,2316.6555839727193,0.4883176295186225,0.7925675675675675,1140,2298,1180,2335
67,68,1554.0,45.85546386485405,43.209334472758485,1164.4633204633205,1951.7767052767053,0.3347861567321881,0.7848484848484848,1143,1930,1188,1974
68,69,682.0,29.68252134118363,29.42289050786987,1157.483870967742,2524.205278592375,0.13197478672365134,0.8109393579072532,1143,2510,1172,2539
69,70,917.0,37.7898072210597,30.943117945917383,1164.1145038167938,2428.350054525627,0.5740477862563154,0.7960069444444444,1147,2413,1183,2445
70,71,1558.0,46.05177861036024,43.28784691085301,1172.0988446726572,2380.790757381258,0.3412237952742296,0.7697628458498024,1150,2360,1196,2404
71,72,773.0,33.52170801962401,29.66308477817489,1172.934023285899,1490.170763260026,0.46579661889088697,0.7808080808080808,1157,1475,1190,1505
72,73,2044.0,66.9300595695228,40.25722168867738,1197.2896281800392,1639.3615459882583,0.7988864016760239,0.651993620414673,1171,1612,1226,1669
73,74,368.0,23.105455782934257,20.357225324015495,1188.2173913043478,1442.3179347826087,0.4730099659580415,0.8,1178,1433,1201,1453
74,75,867.0,35.77980189503489,31.29557055152166,1194.7439446366782,2057.4590542099195,0.48471629482377326,0.7741071428571429,1178,2041,1210,2076
75,76,2643.0,62.448835830404114,54.076016756344636,1210.3004161937192,2526.7154748391977,0.5001736260112307,0.7594827586206897,1181,2497,1241,2555
76,77,481.0,29.2032100815536,21.031063942272308,1198.7567567567567,2106.964656964657,0.6938051746437593,0.7745571658615137,1186,2096,1213,2119
77,78,1273.0,43.92921048548598,37.0549942690662,1226.159465828751,2407.6535742340925,0.5371039631391642,0.7590936195587359,1206,2386,1245,2429
78,79,713.0,34.032311957630014,26.824073220089915,1232.0196353436186,1666.5483870967741,0.6154265151157969,0.7766884531590414,1216,1653,1250,1680
79,80,1451.0,47.42455120714082,39.08873413402562,1270.9359062715369,2411.0351481736734,0.5662552745618454,0.8034330011074197,1250,2390,1293,2432
80,81,1417.0,45.7340789377619,39.712781935732366,1282.561750176429,2459.227946365561,0.4959674144546918,0.7497354497354497,1259,2438,1304,2480
81,82,740.0,31.809467447614907,29.6875194424862,1283.2986486486486,1266.7648648648649,0.35911859192673345,0.8222222222222222,1269,1252,1299,1282
82,83,294.0,20.683290776695358,18.223998234302094,1301.2414965986395,1921.4183673469388,0.47293444331945833,0.7736842105263158,1292,1912,1312,1931
