,label,area,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,extent,bbox-0,bbox-1,bbox-2,bbox-3
0,1,391.0,25.539653198051692,19.58981322038891,662.0051150895141,1579.8184143222506,0.6416050098345853,0.791497975708502,653,1567,672,1593
1,2,409.0,26.998643995990705,19.3262894817129,667.2713936430317,1128.1100244498778,0.6982802855429421,0.7790476190476191,657,1116,678,1141
2,3,417.0,26.64773712365123,19.979100436741412,685.2470023980816,1209.4076738609112,0.6617229139825096,0.7354497354497355,675,1196,696,1223
3,4,335.0,23.63147243721327,18.122782814475627,685.1910447761194,1282.089552238806,0.6417763959510188,0.8091787439613527,677,1271,695,1294
4,5,1017.0,39.57928827058649,32.902934989158716,730.4346116027532,1472.3362831858408,0.5557985730747237,0.7516629711751663,714,1453,747,1494
5,6,1389.0,45.899815574470374,38.574495978755444,733.511879049676,1751.1893448524118,0.5419568109769961,0.7914529914529914,715,1729,754,1774
6,7,350.0,22.813456218483537,19.68285266003692,727.1542857142857,1427.1314285714286,0.5055900946083475,0.7608695652173914,716,1418,739,1438
7,8,314.0,22.337904575043808,17.993310582993225,726.8535031847134,1040.6910828025477,0.5925879566508067,0.7929292929292929,718,1030,736,1052
8,9,557.0,29.054012229114143,24.478408593295292,741.6804308797127,1224.637342908438,0.5386746335349015,0.7387267904509284,729,1211,755,1240
9,10,313.0,22.074691320317054,18.100442762603574,764.4600638977636,1845.2108626198083,0.5724157050125406,0.7904040404040404,756,1835,774,1857
10,11,943.0,39.23413863520393,30.784895591273497,775.2078472958642,1118.1495227995758,0.6199445368324101,0.7111613876319759,758,1099,792,1138
11,12,439.0,26.27318213283736,21.458044600462483,796.2756264236903,1139.6674259681092,0.577022794533105,0.6503703703703704,784,1127,809,1154
12,13,942.0,38.38135795093122,31.284160202986293,807.2505307855627,1911.3184713375797,0.5793380492297616,0.7915966386554621,791,1894,825,1929
13,14,787.0,32.03164013591332,31.403643261318585,840.5031766200763,1308.0609911054637,0.19704481286467337,0.7933467741935484,826,1293,857,1325
14,15,547.0,31.364484551403528,22.74321904115028,844.4643510054844,1221.7257769652651,0.6886156785883857,0.7293333333333333,829,1211,859,1236
