,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,627,1646,661,1685,1080.0,1326.0,41.26742831704312,33.37317358866122,643.6824074074074,1664.7824074074074,0.5882145037974804,1104.0,121.49747468305831,37.0823233942262,0.8144796380090498,-1.1845379623788346
1,2,628,1850,649,1878,473.0,588.0,28.616441201746706,21.097106959186565,637.76955602537,1863.0507399577168,0.6756339313882846,486.0,79.9411254969543,24.54062559633988,0.8044217687074829,1.5574445649167379
2,3,666,1342,698,1382,986.0,1280.0,40.67559759910474,31.060465529042865,680.629817444219,1360.2322515212982,0.6456727446241182,1010.0,116.56854249492379,35.43182455235505,0.7703125,-1.2080879862885716
3,4,671,1958,689,1981,320.0,414.0,24.025443626636257,17.02201504062675,679.121875,1969.109375,0.7057113036618569,336.0,67.4558441227157,20.185060176161283,0.7729468599033816,1.1613344816110451
4,5,673,1470,706,1505,910.0,1155.0,36.22795595576819,32.00178417653471,688.8758241758242,1486.6538461538462,0.4687233622910368,933.0,110.32590180780453,34.03891869182977,0.7878787878787878,-0.9916562434556283
5,6,675,1999,694,2022,328.0,437.0,22.976729543806776,18.433942405405187,684.704268292683,2010.6310975609756,0.5969378545162083,340.0,66.52691193458118,20.43581587980116,0.7505720823798627,1.3164203143097337
6,7,712,1806,731,1830,378.0,456.0,24.675322788714958,19.664638267630927,720.9074074074074,1817.4285714285713,0.604064538135093,392.0,71.45584412271572,21.938198374294355,0.8289473684210527,1.5688911430540715
7,8,720,2087,755,2126,1077.0,1365.0,40.2646447989513,34.08509274956064,736.9842154131848,2105.974930362117,0.5323464287609938,1099.0,120.56854249492379,37.03078435139837,0.789010989010989,1.2072018025344287
8,9,737,1154,758,1177,351.0,483.0,22.813731333684498,19.691063433899835,746.8404558404559,1165.2222222222222,0.5049932096254716,359.0,67.59797974644665,21.14017691983778,0.7267080745341615,-1.1448621314418947
9,10,741,1217,771,1250,757.0,990.0,34.6662736717321,27.872953111908583,755.6327608982826,1232.7186261558784,0.5945797946553527,781.0,102.08326112068524,31.045810270703488,0.7646464646464647,-1.0669840245160376
10,11,742,1272,777,1310,1021.0,1330.0,37.73618322401956,34.53786608640614,758.8795298726739,1290.0901077375122,0.40289695445176604,1047.0,117.39696961966999,36.05520177692258,0.7676691729323308,-1.3582273144777517
11,12,742,2032,761,2056,340.0,456.0,23.475149256992168,18.57363156486283,751.035294117647,2044.25,0.6115523356390108,351.0,67.35533905932738,20.806283791440396,0.7456140350877193,-1.281365584853023
12,13,760,1908,785,1933,445.0,625.0,24.82871282557878,23.140966190522363,771.285393258427,1919.7955056179776,0.3623955250367085,465.0,79.01219330881975,23.803184606416586,0.712,0.7564342890025848
13,14,765,1768,799,1807,1034.0,1326.0,38.75045348380466,34.02367129618709,781.2920696324952,1787.3268858800773,0.47862403242781565,1064.0,118.56854249492379,36.2840142384516,0.779788838612368,-1.4713245085901485
14,15,777,1056,802,1078,429.0,550.0,25.49774103137581,21.506906027943277,789.4895104895105,1066.8368298368298,0.5371561822945985,442.0,75.35533905932738,23.371344948277684,0.78,-0.5795588605537806
15,16,785,1993,817,2028,911.0,1120.0,35.84371370780774,32.49596311777946,799.8594950603732,2009.9121844127333,0.4219879095886588,930.0,110.08326112068522,34.05761625912379,0.8133928571428571,1.5134979028337263
16,17,793,1117,823,1149,775.0,960.0,32.736862926027186,30.20781150805034,807.2645161290322,1132.9574193548387,0.3854084794049344,795.0,101.84062043356595,31.412746571571088,0.8072916666666666,-1.1597651871381638
17,18,796,1595,815,1621,383.0,494.0,25.701831378790814,19.060728490715043,804.4099216710183,1607.4516971279375,0.6708315684917995,395.0,71.94112549695429,22.082815618339236,0.7753036437246964,-1.4556842948500017
18,19,817,1537,839,1561,411.0,528.0,26.743710065007054,19.678775578839474,827.0632603406326,1548.3211678832117,0.6771682843847604,423.0,74.52691193458118,22.875783109789968,0.7784090909090909,-0.8560953445031725
19,20,829,1368,851,1389,338.0,462.0,23.9990277810827,17.975817950546844,839.4142011834319,1377.7514792899408,0.6625442699969647,353.0,67.94112549695429,20.7449985808745,0.7316017316017316,-0.6594771791241342
20,21,832,2078,868,2116,1086.0,1368.0,38.627895232699174,35.85276786427959,849.8710865561694,2095.927255985267,0.37218784235874613,1106.0,119.9827560572969,37.18518717960671,0.793859649122807,1.529420226184598
21,22,849,1239,884,1274,995.0,1225.0,36.15466161440053,35.08986123195051,866.345728643216,1255.9477386934673,0.24090484759498113,1014.0,114.32590180780451,35.593164329846914,0.8122448979591836,-0.45629161730508355
22,23,851,1699,887,1736,1059.0,1332.0,37.6029717449268,35.92180353502478,868.1255901794145,1716.9216241737488,0.295665239702337,1085.0,119.15432893255071,36.72003101679705,0.795045045045045,-1.3018740297640143
23,24,853,2322,875,2345,369.0,506.0,25.275470712427207,18.746485908214353,863.550135501355,2333.127371273713,0.670746240772817,385.0,71.35533905932736,21.675455981530703,0.7292490118577075,0.9354619426536667
24,25,869,1462,908,1503,1242.0,1599.0,43.24917708073016,36.607899966990885,887.8099838969404,1482.4396135265702,0.5324816641798906,1273.0,130.22539674441617,39.76636159571394,0.776735459662289,-0.9525873946958756
25,26,875,1551,903,1582,701.0,868.0,32.31149019429098,27.66967890748254,888.9714693295292,1565.861626248217,0.5164094907961941,722.0,97.01219330881976,29.87542335866304,0.8076036866359447,-1.1879701403189507
26,27,878,1093,910,1131,895.0,1216.0,39.46904534420746,29.005519815854488,894.0849162011173,1110.5832402234637,0.6781832177382704,932.0,114.32590180780451,33.757212452126,0.7360197368421053,-0.9902128816661566
27,28,878,1804,899,1824,323.0,420.0,20.88317039341979,19.904555461192782,887.3962848297214,1812.9164086687306,0.3025340301827905,332.0,64.5269119345812,20.279456919490165,0.7690476190476191,-0.2731261563957762
28,29,880,998,911,1030,759.0,992.0,35.14177973504291,27.731796921528968,894.8181818181819,1013.8405797101449,0.6142128969426499,786.0,103.25483399593905,31.086794856562303,0.7651209677419355,-0.8286815137957653
29,30,880,2370,919,2410,1139.0,1560.0,45.10323650890509,32.30344981856083,899.5575065847235,2388.857769973661,0.6978834465843878,1177.0,127.63961030678927,38.08175207961617,0.7301282051282051,0.8469154699385049
