,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,698,1766,723,1791,485.0,625.0,25.774363339829694,24.026165297725647,710.1443298969073,1777.8742268041237,0.3620131486015414,512.0,86.76955262170047,24.849973424463737,0.776,-0.996920954296963
1,2,704,1666,726,1689,386.0,506.0,23.01070092336257,21.442805453905127,714.699481865285,1677.2253886010362,0.36281206116766584,403.0,75.11269837220809,22.16913314200113,0.7628458498023716,-1.4446585555606806
2,3,718,1814,746,1844,632.0,840.0,30.158109248786353,26.87680534240347,731.9272151898734,1829.0506329113923,0.453617201972401,661.0,99.25483399593904,28.367012395961314,0.7523809523809524,-1.2632760786336066
3,4,732,2179,751,2203,342.0,456.0,24.3616051938294,18.082418889547558,741.0175438596491,2191.342105263158,0.6701222837022547,358.0,71.11269837220809,20.867389014906145,0.75,1.214571681075026
4,5,734,1728,766,1769,972.0,1312.0,40.29725793099025,30.867039268494292,749.6738683127572,1748.232510288066,0.6428600959173842,1008.0,123.9827560572969,35.17938085701024,0.7408536585365854,-1.2881770503023608
5,6,741,1997,772,2027,729.0,930.0,30.753020325444755,30.276938008445452,756.3676268861454,2011.6968449931412,0.17527694170719804,759.0,105.84062043356595,30.46623751157884,0.7838709677419354,1.1604766155013109
6,7,755,1885,778,1908,365.0,529.0,26.657542974018728,17.696203661188367,766.0054794520548,1895.9972602739726,0.7478792753361835,388.0,74.76955262170047,21.557653718072718,0.6899810964083176,-0.9305250448769099
7,8,764,1530,794,1566,742.0,1080.0,38.36998778415843,24.89990555818753,777.9703504043126,1546.8369272237196,0.7608376818007272,780.0,111.74011537017762,30.736683981742253,0.687037037037037,-1.004607905223703
8,9,769,1810,794,1835,459.0,625.0,26.291039560289562,22.41708703265363,781.6840958605665,1822.4705882352941,0.5224805183643124,486.0,85.35533905932738,24.17471718621419,0.7344,-0.8880136073339768
9,10,778,2121,806,2151,621.0,840.0,33.60434988004791,23.581781516569635,791.4154589371981,2135.3429951690823,0.7124253668502517,650.0,98.42640687119285,28.11906394744562,0.7392857142857143,0.9396657723315859
10,11,782,2240,807,2275,676.0,875.0,34.9457611443617,24.83533748749749,794.7603550295858,2255.8934911242604,0.7035129869216469,702.0,103.84062043356593,29.33785834448333,0.7725714285714286,1.502297599604667
11,12,792,1409,830,1453,1183.0,1672.0,49.34769137847092,30.61689294125405,810.2535925612849,1430.5959425190194,0.7842601484160988,1225.0,140.63961030678928,38.810338589372,0.7075358851674641,-0.9109319082000741
