,label,area,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,extent,bbox-0,bbox-1,bbox-2,bbox-3
0,1,419.0,23.73501055295401,22.716994834130823,611.9164677804296,1745.128878281623,0.2897277185801355,0.7590579710144928,601,1733,624,1757
1,2,747.0,37.397158154403755,25.81544676373992,663.0562248995984,1494.4564926372154,0.7235184527379948,0.6961789375582479,649,1478,678,1515
2,3,739.0,31.628075381685285,29.99396197159418,670.1447902571042,1669.4587280108256,0.317275369251989,0.7449596774193549,656,1654,687,1686
3,4,987.0,39.065245285898925,32.304240298400565,682.9311043566363,1049.2077001013172,0.5623042368613469,0.744343891402715,666,1031,700,1070
4,5,798.0,36.62144099379959,27.92312272942908,723.5864661654135,990.7255639097745,0.647011578780911,0.7437092264678472,706,977,743,1006
5,6,1067.0,40.557325519387085,33.62067550849443,736.2492970946579,1610.6841611996251,0.5592978446178178,0.7845588235294118,720,1592,754,1632
6,7,528.0,27.137480541760297,24.957585437578846,736.2424242424242,1788.6174242424242,0.3926870407436023,0.6984126984126984,723,1776,751,1803
7,8,556.0,29.03282999390213,24.509712621994595,745.318345323741,1346.730215827338,0.5360176041673791,0.8224852071005917,733,1334,759,1360
8,9,1010.0,39.70600512606853,32.55563973934834,753.7475247524752,1819.5079207920792,0.5724820113043148,0.8054226475279107,738,1801,771,1839
9,10,1243.0,41.74420229549105,38.03420622888338,759.2936444086887,1432.0917135961383,0.4121290636963206,0.8387314439946019,741,1413,779,1452
10,11,568.0,29.827396476303687,24.450117960551893,767.0352112676056,1221.7957746478874,0.5727642386766845,0.7329032258064516,753,1209,784,1234
11,12,648.0,29.4501160846609,28.338209826237403,797.9845679012345,2162.0416666666665,0.27218684592029385,0.7465437788018433,784,2149,815,2177
12,13,627.0,37.96853105013875,21.12573009759787,815.9617224880383,1051.298245614035,0.8309138852013788,0.736780258519389,799,1040,836,1063
13,14,615.0,29.99423343590299,26.241328842142675,818.3983739837398,2291.9349593495936,0.48434131410432685,0.7312722948870393,804,2278,833,2307
14,15,640.0,32.72725885737381,25.340634140051574,820.1734375,1172.3375,0.6328217827357319,0.745920745920746,807,1157,833,1190
15,16,842.0,38.59368822828879,27.88578267215111,844.1543942992874,861.062945368171,0.6913210151780929,0.7585585585585586,827,847,864,877
16,17,631.0,30.878280545092395,26.531026357589056,857.1664025356577,2032.6735340729,0.5116176993329753,0.6829004329004329,843,2018,876,2046
17,18,1259.0,44.13092126768584,36.58577892884927,865.1270849880858,2311.2629070691023,0.5592067748883199,0.7733415233415234,847,2290,884,2334
18,19,1182.0,48.81893112928668,30.994641908093357,868.2394247038917,2077.498307952623,0.772602698146803,0.7557544757033248,852,2056,886,2102
19,20,778.0,37.20075629143932,26.777245582405985,874.2377892030848,1345.6452442159382,0.6941775678170351,0.750965250965251,861,1328,889,1365
20,21,885.0,38.05818598111615,30.334129712328235,882.5943502824858,989.0338983050848,0.6039184319618557,0.7972972972972973,866,974,903,1004
21,22,1071.0,42.53209334146147,32.17374333598434,891.6377217553688,1707.7525676937441,0.6540422433880825,0.778343023255814,871,1692,914,1724
22,23,977.0,35.826259579343336,34.83489973493834,896.9959058341863,1516.6622313203684,0.23361707000902462,0.7975510204081633,880,1500,915,1535
23,24,709.0,30.707003743820188,29.637617467979677,895.3286318758816,1661.7461212976023,0.2616068695278897,0.7877777777777778,881,1647,911,1677
24,25,839.0,33.37576647942069,32.401987606551366,912.4660309892729,1892.7818831942789,0.23979407399871397,0.7477718360071302,896,1876,929,1910
25,26,620.0,32.06490302736784,24.711134381486787,912.7532258064516,2387.3951612903224,0.6372466919241906,0.7692307692307693,900,2372,926,2403
26,27,885.0,35.80394422900532,31.60343196251813,925.1581920903955,2141.335593220339,0.46997414669909465,0.815668202764977,910,2124,941,2159
27,28,646.0,31.982591439065423,25.903282736701787,938.6547987616099,858.8467492260062,0.5865428518496053,0.752913752913753,923,846,956,872
28,29,1273.0,44.73621455540191,36.34519765380937,956.0086410054988,781.2749410840535,0.5830539171799108,0.7645645645645646,934,764,979,801
29,30,784.0,35.82083936344789,28.01695563017647,951.3188775510204,1406.827806122449,0.6231011832019058,0.7663734115347018,935,1392,968,1423
30,31,749.0,32.37455698496487,29.561628054801847,948.8117489986649,1799.1495327102805,0.4077066276286889,0.8071120689655172,935,1783,964,1815
31,32,775.0,34.5238955434599,28.796386546363394,954.9264516129032,1534.5509677419354,0.551613030285334,0.7123161764705882,940,1518,972,1552
32,33,1022.0,40.90973481639232,32.011663832569184,962.5616438356165,1989.160469667319,0.6226568405045817,0.7470760233918129,943,1971,981,2007
33,34,946.0,41.312222093772384,29.252117070058215,972.6701902748414,2428.791754756871,0.7061380743574571,0.7691056910569106,958,2409,988,2450
34,35,533.0,29.607971286182952,23.093141395088026,975.5703564727955,2496.0300187617263,0.6258248177292115,0.7991004497751124,965,2482,988,2511
35,36,1031.0,42.29631570037353,31.2318521795203,989.6420950533462,2198.662463627546,0.6743564472695497,0.71398891966759,971,2181,1009,2219
36,37,1427.0,44.35455247409681,41.04197703510059,995.8037841625788,1211.3174491941136,0.3791969170460888,0.7734417344173442,976,1189,1017,1234
37,38,849.0,36.60650306761921,29.858473316131402,1001.944640753828,1754.6466431095407,0.5785310570771524,0.7207130730050934,984,1739,1022,1770
38,39,1051.0,43.46878714018174,31.05003109208013,1002.9058039961941,2257.7136060894386,0.6998331407131388,0.7091767881241565,984,2239,1023,2277
39,40,442.0,26.65783035884631,21.180604314112667,998.1199095022624,1629.1357466063348,0.6072171270292571,0.7366666666666667,987,1617,1011,1642
