,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
0,1,1066,1943,1117,2042,3423.0,5049.0,109.76236029931394,44.68963798838503,1090.3342097575226,1991.371895997663,0.9133617417875974,3981.0,322.62846301849606,66.0174140786237,0.6779560308972074,-1.449084859147581
1,2,1112,2081,1165,2145,2253.0,3392.0,66.25028113744945,44.47532789413794,1138.00488237905,2112.3941411451397,0.7411650450624542,2397.0,197.95941546018392,53.559394080668255,0.6642099056603774,1.1378249911201512
2,3,1126,2043,1167,2085,1153.0,1722.0,49.01120081079423,30.78964190239153,1145.790980052038,2062.993061578491,0.7780386297687649,1289.0,150.67514421272202,38.31507790778511,0.6695702671312428,0.8452212115572485
3,4,1127,1653,1173,1700,1696.0,2162.0,47.23615396427688,45.88462353271472,1148.9180424528302,1675.3903301886792,0.2374989432849344,1736.0,154.12489168102786,46.46949825284146,0.7844588344125809,-1.3780831819939112
4,5,1147,1600,1182,1636,880.0,1260.0,37.73206311810359,30.4788910091717,1163.853409090909,1617.2363636363636,0.589495509776072,968.0,127.675144212722,33.47313548753602,0.6984126984126984,-0.9587980028159722
5,6,1164,2394,1197,2428,823.0,1122.0,35.967587288021676,29.457467879216754,1180.3705953827462,2411.0814094775214,0.5737929656421622,876.0,115.32590180780451,32.37091511398834,0.7335115864527629,0.7356912609397209
6,7,1171,2229,1210,2292,1832.0,2457.0,68.0390730313447,35.39102117900199,1190.2445414847161,2259.664847161572,0.8540704732155445,1998.0,184.02438661763952,48.296737425573774,0.7456247456247457,1.3809096028611092
7,8,1187,1807,1213,1837,577.0,780.0,29.81081407058627,24.882723640790722,1199.0623916811091,1822.5545927209705,0.5507233699088563,602.0,91.84062043356595,27.104597715372734,0.7397435897435898,1.2638013910801884
8,9,1192,2458,1207,2482,192.0,360.0,23.073010007166808,11.686289784675148,1199.1822916666667,2468.046875,0.8622447925202127,228.0,60.90559159102155,15.635280380893438,0.5333333333333333,1.1744675067969579
9,10,1207,1976,1248,2015,1184.0,1599.0,40.790164981840526,37.07736862022775,1227.130912162162,1995.585304054054,0.41684376753036967,1240.0,132.22539674441617,38.826738479640966,0.740462789243277,0.5298804890363039
10,11,1212,1767,1255,1815,1581.0,2064.0,48.26116342708626,41.852560689378855,1232.9702719797597,1790.3643263757115,0.4979426856458731,1639.0,152.71067811865476,44.866376276965944,0.7659883720930233,-1.388571947529078
11,12,1223,1895,1273,1942,1444.0,2350.0,56.12243562485584,34.03538973037572,1247.9563711911358,1917.5373961218836,0.7951224581588446,1554.0,160.5096679918781,42.87840834962948,0.614468085106383,0.7473927183914011
12,13,1231,1721,1263,1753,750.0,1024.0,33.710779617897025,28.484269198555914,1247.2386666666666,1737.508,0.5348290891664097,781.0,103.49747468305833,30.90193616185517,0.732421875,-0.7068854944439161
13,14,1232,1566,1259,1600,668.0,918.0,33.30492268724213,25.637066110474958,1244.9715568862275,1582.7709580838323,0.6383236765183845,700.0,98.08326112068522,29.163744887841286,0.7276688453159041,-1.233725759142782
14,15,1239,2215,1276,2259,1222.0,1628.0,44.27955479776269,35.3579532387679,1256.5368248772504,2236.3944353518823,0.6019729786545163,1259.0,131.63961030678928,39.44488209725527,0.7506142506142506,-1.5439931718246154
15,16,1247,2426,1286,2466,1047.0,1560.0,40.36861473757842,34.15318349324224,1264.8194842406876,2446.702960840497,0.5331304026468673,1173.0,142.5035713374682,36.511392788247825,0.6711538461538461,0.6647599699989409
16,17,1249,2173,1287,2211,1104.0,1444.0,39.63464098736551,35.686021131642335,1267.8460144927535,2191.1865942028985,0.43511574452934587,1143.0,125.15432893255071,37.492085263260826,0.7645429362880887,0.9325246112064417
17,18,1256,2380,1298,2428,1542.0,2016.0,50.49783204533016,39.0654056808651,1276.728923476005,2402.9280155642023,0.6336674008910035,1603.0,152.12489168102786,44.30954048488453,0.7648809523809523,1.0407849407711172
18,19,1273,2101,1322,2150,1472.0,2401.0,56.55818120996992,34.88573152010424,1295.5923913043478,2125.2051630434785,0.7871109731396971,1607.0,160.26702730475878,43.292131038448076,0.6130778842149105,-0.8328089023563041
19,20,1283,2306,1303,2326,253.0,400.0,19.538031856815685,17.3102279674481,1293.6284584980237,2315.9446640316205,0.4637310298154901,288.0,69.73401871576773,17.94796937867892,0.6325,1.0684222713907126
20,21,1289,2256,1327,2288,891.0,1216.0,38.49843243182478,29.80299951629319,1307.1661054994388,2272.0796857463524,0.6330200450120967,938.0,115.9827560572969,33.681692866586,0.7327302631578947,-0.20302729569546488
21,22,1289,2458,1325,2508,1330.0,1800.0,47.56356209985366,36.151698582328024,1307.3736842105263,2484.308270676692,0.6498396845204941,1408.0,147.29646455628168,41.151046092387084,0.7388888888888889,-1.4187637945683294
22,23,1290,1347,1327,1386,1025.0,1443.0,40.0823936364891,32.759489245080864,1308.290731707317,1366.4009756097562,0.5762071126220377,1081.0,125.88225099390857,36.12575996921783,0.7103257103257103,-0.9827274716281462
23,24,1308,1836,1362,1900,2454.0,3456.0,65.86306601755362,48.8071264539636,1335.484107579462,1866.8231458842706,0.6714615537916422,2597.0,200.75230867899737,55.897494065298574,0.7100694444444444,1.1616338352709021
24,25,1318,1534,1356,1565,857.0,1178.0,37.738361746991785,29.128184462918544,1337.5950991831971,1548.757292882147,0.6358101395005153,907.0,113.39696961966999,33.032806266468405,0.7275042444821732,-0.3065551426547737
25,26,1329,2083,1363,2117,913.0,1156.0,36.798741872719724,31.697783136256874,1345.9507119386637,2099.3362541073384,0.5079572977652151,943.0,112.66904755831213,34.09498063268556,0.7897923875432526,1.0255185087896397
26,27,1340,1722,1373,1758,912.0,1188.0,35.522280369657864,32.82352273270993,1355.7543859649122,1739.5427631578948,0.3823288142989306,947.0,113.1543289325507,34.07630356711932,0.7676767676767676,1.1922294492750294
27,28,1349,2677,1382,2711,802.0,1122.0,35.86381577800305,28.882009481229588,1364.9201995012468,2693.851620947631,0.5928342525275813,865.0,113.49747468305833,31.955251757380985,0.714795008912656,0.9050444894151096
