,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,1006,1606,1028,1631
1,2,1031,1280,1049,1301
2,3,1031,1467,1052,1488
3,4,1054,1930,1085,1961
4,5,1065,1783,1086,1804
5,6,1069,2200,1085,2221
6,7,1073,2084,1100,2116
7,8,1084,1311,1104,1333
8,9,1092,2012,1112,2032
9,10,1096,1027,1122,1052
10,11,1120,1349,1141,1372
11,12,1127,2434,1156,2473
12,13,1129,2205,1146,2222
13,14,1147,1593,1167,1614
14,15,1168,2468,1194,2495
15,16,1171,1691,1193,1716
16,17,1176,1500,1204,1529
17,18,1187,2631,1214,2664
18,19,1195,1405,1211,1424
19,20,1199,1234,1228,1268
20,21,1204,2096,1232,2125
21,22,1206,1111,1229,1139
22,23,1212,2526,1229,2542
23,24,1223,1984,1248,2012
24,25,1249,865,1274,885
25,26,1256,747,1281,772
26,27,1258,1198,1285,1225
27,28,1266,2495,1295,2531
28,29,1274,548,1294,573
29,30,1278,2428,1297,2449
30,31,1281,1807,1306,1829
31,32,1284,2663,1308,2690
32,33,1286,675,1313,700
33,34,1304,885,1332,918
34,35,1305,1592,1333,1620
35,36,1319,2153,1347,2180
36,37,1324,1313,1347,1342
37,38,1328,1047,1351,1072
38,39,1330,2838,1352,2858
39,40,1336,1917,1363,1941
40,41,1337,2361,1362,2388
41,42,1341,547,1357,564
42,43,1346,828,1367,846
43,44,1347,2637,1374,2669
44,45,1349,1978,1377,2008
45,46,1365,609,1387,633
46,47,1369,1485,1389,1505
47,48,1380,1545,1407,1581
48,49,1388,553,1409,572
49,50,1401,1920,1426,1945
50,51,1402,1334,1429,1367
51,52,1402,2275,1434,2309
52,53,1403,1874,1419,1891
53,54,1404,1257,1422,1280
54,55,1410,2054,1429,2080
55,56,1415,1065,1432,1088
56,57,1419,2676,1437,2691
57,58,1425,1702,1452,1726
58,59,1437,452,1456,471
59,60,1438,2768,1456,2788
60,61,1443,1765,1465,1788
61,62,1455,2920,1481,2947
62,63,1456,1233,1482,1257
63,64,1458,2567,1473,2586
64,65,1466,2039,1494,2066
65,66,1471,2224,1491,2246
66,67,1479,2824,1507,2857
67,68,1488,1438,1508,1460
68,69,1505,2640,1528,2661
69,70,1506,2915,1542,2952
70,71,1507,1892,1528,1922
71,72,1515,1196,1538,1222
72,73,1522,1075,1538,1093
73,74,1547,2063,1573,2096
74,75,1548,2876,1572,2904
75,76,1565,1360,1593,1391
76,77,1572,1591,1598,1620
77,78,1572,1757,1594,1780
78,79,1589,2813,1610,2838
79,80,1603,2485,1629,2517
80,81,1613,1952,1642,1983
81,82,1617,2754,1637,2777
82,83,1633,1279,1659,1311
83,84,1633,1446,1653,1468
84,85,1639,209,1657,230
85,86,1644,1507,1663,1528
86,87,1645,1220,1668,1243
87,88,1648,2691,1674,2719
88,89,1649,1590,1674,1620
89,90,1662,2526,1685,2547
90,91,1669,2337,1699,2373
91,92,1674,973,1700,1006
92,93,1676,2254,1699,2281
93,94,1685,327,1707,347
94,95,1691,2040,1722,2071
95,96,1692,2752,1709,2769
96,97,1702,1412,1729,1439
97,98,1711,2607,1733,2637
98,99,1714,1142,1735,1164
99,100,1715,704,1740,728
100,101,1720,1723,1743,1748
101,102,1723,812,1746,836
102,103,1729,2505,1750,2536
103,104,1736,1939,1764,1973
104,105,1744,378,1768,407
105,106,1744,601,1772,631
106,107,1752,2391,1780,2420
107,108,1761,989,1786,1020
108,109,1780,823,1804,846
109,110,1786,1767,1811,1793
110,111,1796,1409,1820,1432
111,112,1802,1957,1821,1976
112,113,1808,1540,1837,1573
113,114,1819,1156,1836,1179
114,115,1821,715,1843,736
115,116,1821,2173,1840,2191
116,117,1842,2111,1865,2133
117,118,1842,2373,1867,2401
118,119,1876,1040,1899,1060
119,120,1892,1499,1910,1518
120,121,1899,1687,1919,1707
121,122,1907,2098,1930,2125
122,123,1908,1216,1930,1240
123,124,1911,2047,1938,2074
124,125,1917,1777,1937,1799
125,126,1919,1844,1941,1866
126,127,1936,1940,1962,1972
127,128,1946,1552,1969,1573
