,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,0,757,15,783
1,2,268,850,295,875
2,3,277,807,293,845
3,4,290,872,322,893
4,5,306,610,323,631
5,6,417,884,437,920
6,7,422,982,467,1020
7,8,434,920,481,957
8,9,463,996,493,1024
9,10,549,988,588,1024
10,11,592,772,616,805
11,12,689,886,754,983
12,13,727,744,766,784
13,14,853,981,877,1005
14,15,889,515,923,544
15,16,941,272,958,300
16,17,965,302,1014,352
17,18,974,476,1024,509
18,19,988,0,1024,29
19,20,994,415,1024,462
20,21,1005,354,1024,384
21,22,1006,726,1024,771
22,23,1012,284,1024,317
