,label,bbox-0,bbox-1,bbox-2,bbox-3
0,1,0,873,10,917
1,2,182,323,225,359
2,3,258,429,330,469
3,4,329,991,366,1017
4,5,349,3,370,41
5,6,361,0,386,43
6,7,367,996,388,1024
7,8,439,574,466,600
8,9,477,892,507,920
9,10,508,361,565,390
10,11,548,754,571,780
11,12,572,523,611,554
12,13,577,754,599,785
13,14,581,914,599,938
14,15,803,662,821,688
15,16,812,831,832,853
16,17,863,592,902,637
17,18,937,367,967,396
18,19,965,952,1024,1024
19,20,985,196,1024,240
20,21,995,984,1024,1024
21,22,998,235,1024,253
22,23,1002,678,1016,704
23,24,1003,464,1021,494
24,25,1005,84,1024,103
25,26,1008,847,1024,871
